sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
29,0,1,10.507867,8.854095,1.649990,0.003783,81,210,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
30,0,1,10.507867,8.854095,1.649990,0.003783,82,217,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,73f5efc94321c0e66c0fa4f3f14fc0dc6d7fb02e79dc6c80c214d626eea2f3d2
31,0,1,9.091885,8.282174,0.805927,0.003783,86,224,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
32,0,1,10.609234,8.955461,1.649990,0.003783,89,231,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
33,0,1,11.423925,9.426015,1.994052,0.003858,93,238,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,3a30d1b4ad06ed9a3fcbd74498f1634e4996a03c20d1403b1c63494fe3c2229a
34,0,1,11.626658,9.628748,1.994052,0.003858,96,245,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,3a30d1b4ad06ed9a3fcbd74498f1634e4996a03c20d1403b1c63494fe3c2229a
35,0,1,10.507942,8.854095,1.649990,0.003858,99,252,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,3a30d1b4ad06ed9a3fcbd74498f1634e4996a03c20d1403b1c63494fe3c2229a
36,0,1,10.507942,8.854095,1.649990,0.003858,102,259,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,3a30d1b4ad06ed9a3fcbd74498f1634e4996a03c20d1403b1c63494fe3c2229a
37,0,1,9.091885,8.282174,0.805927,0.003783,105,266,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
38,0,1,9.091885,8.282174,0.805927,0.003783,106,273,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
39,0,1,9.092817,8.282174,0.805927,0.004715,110,280,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59101e25112da6f3faaf8e8819478a3010ca8ee92a4d6a46ac2428737dd176b5
40,0,1,9.091885,8.282174,0.805927,0.003783,112,287,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,4da6100fe7161c460f16c796dd7434e0f52e47fae128362a5f4a27d3a2159e05
41,0,1,9.092817,8.282174,0.805927,0.004715,115,294,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
42,0,1,10.508800,8.854095,1.649990,0.004715,117,301,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,31ad635d909bc3c3d2e2bc1b23d6ae52dfef85d2b27ec8cb8ece9d8416c5b884
43,0,1,11.423754,9.426015,1.994052,0.003687,120,308,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
44,0,1,11.525120,9.527381,1.994052,0.003687,122,315,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
45,0,1,10.609137,8.955461,1.649990,0.003687,124,322,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
46,0,1,9.091788,8.282174,0.805927,0.003687,126,329,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
47,0,1,9.091788,8.282174,0.805927,0.003687,127,336,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
48,0,1,9.091788,8.282174,0.805927,0.003687,128,343,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
49,0,1,10.609137,8.955461,1.649990,0.003687,130,350,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
50,0,1,9.091788,8.282174,0.805927,0.003687,132,357,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
51,0,1,10.507771,8.854095,1.649990,0.003687,134,364,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
52,0,1,10.609137,8.955461,1.649990,0.003687,137,371,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
53,0,1,9.091788,8.282174,0.805927,0.003687,139,378,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
54,0,1,9.091788,8.282174,0.805927,0.003687,140,385,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
55,0,1,9.091788,8.282174,0.805927,0.003687,141,392,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
56,0,1,9.091788,8.282174,0.805927,0.003687,142,399,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
57,0,1,9.091788,8.282174,0.805927,0.003687,143,406,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
58,0,1,9.091788,8.282174,0.805927,0.003687,144,413,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
59,0,1,9.091788,8.282174,0.805927,0.003687,145,420,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
60,0,1,10.507771,8.854095,1.649990,0.003687,147,427,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
61,0,1,11.423754,9.426015,1.994052,0.003687,149,434,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
62,0,1,10.516141,8.854095,1.649990,0.012056,153,441,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,551dd8615ddf33fbf63b64f6c7263394ee4647ddae645f255608dace7aefadcf
63,0,1,10.617507,8.955461,1.649990,0.012056,155,448,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,551dd8615ddf33fbf63b64f6c7263394ee4647ddae645f255608dace7aefadcf
64,0,1,9.100158,8.282174,0.805927,0.012056,157,455,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,551dd8615ddf33fbf63b64f6c7263394ee4647ddae645f255608dace7aefadcf
65,0,1,9.091788,8.282174,0.805927,0.003687,159,462,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
66,0,1,9.091788,8.282174,0.805927,0.003687,160,469,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
67,0,1,9.091788,8.282174,0.805927,0.003687,161,476,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
