sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
20,0,1,8.847738,8.282174,0.805927,0.004715,48,147,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
21,0,1,10.924633,9.527381,1.994052,0.004715,51,154,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
22,0,1,10.924633,9.527381,1.994052,0.004715,54,161,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
23,0,1,10.111868,8.955461,1.649990,0.004715,57,168,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
24,0,1,10.111868,8.955461,1.649990,0.004715,60,175,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
25,0,1,10.111868,8.955461,1.649990,0.004715,61,182,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
26,0,1,10.010502,8.854095,1.649990,0.004715,64,189,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
27,0,1,10.111868,8.955461,1.649990,0.004715,67,196,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
28,0,1,8.847738,8.282174,0.805927,0.004715,69,203,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
29,0,1,10.111868,8.955461,1.649990,0.004715,71,210,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
30,0,1,10.111868,8.955461,1.649990,0.004715,72,217,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
31,0,1,8.847738,8.282174,0.805927,0.004715,74,224,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
32,0,1,10.010502,8.854095,1.649990,0.004715,76,231,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
33,0,1,10.010502,8.854095,1.649990,0.004715,79,238,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
34,0,1,8.847738,8.282174,0.805927,0.004715,81,245,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
35,0,1,8.847738,8.282174,0.805927,0.004715,82,252,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,af346bc64f22679bf587cb23f104d100265508977c970ce9d034db2a91cdfafa
36,0,1,10.010222,8.854095,1.649990,0.003783,85,259,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
37,0,1,10.111589,8.955461,1.649990,0.003783,88,266,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
38,0,1,10.822987,9.426015,1.994052,0.003783,91,273,a39bb73c575ee5133c0d845190304113ace9b48a0d0f5a23dcbe1e78951272fa,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
39,0,1,10.111589,8.955461,1.649990,0.003783,94,280,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
40,0,1,8.847458,8.282174,0.805927,0.003783,96,287,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,dcd6f6035f7b9266a19fcec451746b23889a82ee46603f50a909b509e04f8eb4
