sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
48,0,1,10.111589,8.955461,1.649990,0.003783,142,343,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
49,0,1,8.847458,8.282174,0.805927,0.003783,144,350,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
50,0,1,8.847458,8.282174,0.805927,0.003783,145,357,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
51,0,1,8.847458,8.282174,0.805927,0.003783,146,364,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
52,0,1,10.010222,8.854095,1.649990,0.003783,148,371,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
53,0,1,10.010222,8.854095,1.649990,0.003783,151,378,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
54,0,1,10.111589,8.955461,1.649990,0.003783,153,385,37fb4f792e7711ae484f43a7bc058e81d9f0edf9458ead1975e4c64f87d7fe50,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
55,0,1,10.924353,9.527381,1.994052,0.003783,156,392,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
56,0,1,10.010222,8.854095,1.649990,0.003783,158,399,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
57,0,1,10.010222,8.854095,1.649990,0.003783,161,406,179d211e904b384de637ac5c99ce3bad1104e52a8a61888bd31de143abfafd09,db945cc6f1d0af6908317e0b3a7ea25ea1542be4b3970cf02da8efd55bbbd34e
58,0,1,8.847738,8.282174,0.805927,0.004715,164,413,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
59,0,1,8.847738,8.282174,0.805927,0.004715,167,420,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
60,0,1,8.847738,8.282174,0.805927,0.004715,168,427,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
61,0,1,8.847738,8.282174,0.805927,0.004715,169,434,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,59042c9fb601210cfc9b8286016a6f882dee5c8e5477a4f07a9c331f27ca965a
