checkpoint_id,c,residual_max,tolerance
ckpt_00040,6.800000,0.000000,0.030000
ckpt_00080,6.800000,0.000000,0.030000
ckpt_00120,6.800000,0.000000,0.030000
ckpt_00160,6.800000,0.000000,0.030000
end_state,6.800000,0.000000,0.030000
